Website;Section Name;General Section
BBC;Africa;General National / International
BBC;US & Canada;General National / International
BBC;Latin America & Caribbean;General National / International
BBC;Europe;General National / International
BBC;India;General National / International
BBC;Middle East;General National / International
BBC;UK;General National / International
BBC;Asia;General National / International
BBC;Wales;General National / International
BBC;World;General National / International
BBC;Suffolk;General National / International
BBC;Manchester;General National / International
BBC;England;General National / International
BBC;China;General National / International
BBC;News from Elsewhere;General National / International
BBC;Local News;General National / International
BBC;Wiltshire;General National / International
BBC;Lancashire;General National / International
BBC;London;General National / International
BBC;Scotland;General National / International
BBC;Norfolk;General National / International
BBC;Nottingham;General National / International
BBC;Birmingham & Black Country;General National / International
BBC;Cumbria;General National / International
BBC;Leicester;General National / International
BBC;Leeds & West Yorkshire;General National / International
BBC;Devon;General National / International
BBC;Coventry & Warwickshire;General National / International
BBC;Essex;General National / International
BBC;Hampshire & Isle of Wight;General National / International
BBC;Northern Ireland;General National / International
BBC;Lincolnshire;General National / International
BBC;Humberside;General National / International
BBC;Stoke & Staffordshire;General National / International
BBC;Hereford & Worcester;General National / International
BBC;Australia;General National / International
BBC;Sheffield & South Yorkshire;General National / International
BBC;Cornwall;General National / International
BBC;Cambridgeshire;General National / International
BBC;NE Scotland, Orkney & Shetland;General National / International
BBC;Derby;General National / International
BBC;Highlands & Islands;General National / International
BBC;Edinburgh, Fife & East Scotland;General National / International
BBC;Bristol;General National / International
BBC;Dorset;General National / International
BBC;Yemen crisis;General National / International
BBC;Sussex;General National / International
BBC;Isle Of Man / Ellan Vannin;General National / International
BBC;Liverpool;General National / International
BBC;York & North Yorkshire;General National / International
BBC;South Scotland;General National / International
BBC;Gloucestershire;General National / International
BBC;Oxford;General National / International
BBC;Berkshire;General National / International
BBC;Kent;General National / International
BBC;Glasgow & West Scotland;General National / International
BBC;Somerset;General National / International
BBC;Northampton;General National / International
BBC;Guernsey;General National / International
BBC;Tees;General National / International
BBC;Foyle & West;General National / International
BBC;Shropshire;General National / International
BBC;Jersey;General National / International
BBC;Tayside and Central Scotland;General National / International
BBC;South Asia;General National / International
BBC;Asia-Pacific;General National / International
BBC;Surrey;General National / International
BBC;Bradford;General National / International
BBC;South West Wales;General National / International
BBC;South East Wales;General National / International
BBC;China blog;General National / International
BBC;US and Canada;General National / International
BBC;Renewable Heat Incentive Northern Ireland (RHI);General National / International
BBC;NI 100;General National / International
BBC;Mid Wales;General National / International
BBC;North East Wales;General National / International
BBC;North West Wales;General National / International
BBC;BBC News Services;General National / International
BBC;BBC World News: 24 hour news TV channel;General National / International
BBC;We Are Middlesbrough;General National / International
BBC;Your Coronavirus Stories;Health
BBC;UK Politics;Politics
BBC;Parliaments;Politics
BBC;Brexit;Politics
BBC;Wales politics;Politics
BBC;US Election 2020;Politics
BBC;Scotland politics;Politics
BBC;N. Ireland Politics;Politics
BBC;Election 2019;Politics
BBC;US Election 2016;Politics
BBC;New UK prime minister;Politics
BBC;Entertainment & Arts;Arts and Entertainment
BBC;In Pictures;Arts and Entertainment
BBC;Video games;Arts and Entertainment
BBC;Science & Environment;Science and Technology
BBC;Technology;Science and Technology
BBC;Reality Check;Science and Technology
BBC;Global Car Industry;Business and Finances
BBC;Business;Business and Finances
BBC;Business of Sport;Business and Finances
BBC;Your Money;Business and Finances
BBC;Scotland business;Business and Finances
BBC;Companies;Business and Finances
BBC;The Boss;Business and Finances
BBC;Global Trade;Business and Finances
BBC;Technology of Business;Business and Finances
BBC;CEO Secrets;Business and Finances
BBC;Entrepreneurship;Business and Finances
BBC;New Economy;Business and Finances
BBC;New Tech Economy;Business and Finances
BBC;Economy;Business and Finances
BBC;The Rivals;Business and Finances
BBC;Health;Health
BBC;Home;Home / House / Family / Religion
BBC;Family & Education;Home / House / Family / Religion
BBC;Tyne & Wear;Home / House / Family / Religion
